,DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,MCAR1,MCAR2,MCAR3,MCAR4,MCAR5,MCAR6,MCAR7,MCAR8,MFTN1,MFTN2,MFTN3,MFTN4,MFTN5,MFTN6,MFTN7,MFTN8
375,22:25,17:50,,6:10,10:25,,,,13:35,19:25,,7:05,14:40,,,,2018-06-23,2018-06-24,2018-06-24,2018-06-30,2018-06-30,2018-06-30,2018-06-30,2018-06-30,HAV,CDG,,BRU,AMS,,,,CDG,HAJ,,AMS,HAV,,,,AF,AF,,KL,KL,,,,943,1838,VOID,1720,0723,VOID,VOID,VOID
376,6:30,9:45,,23:25,14:20,,,,8:40,11:40,,12:55,16:25,,,,2018-08-02,2018-08-02,2018-08-02,2018-08-31,2018-09-01,2018-09-01,2018-09-01,2018-09-01,BUD,AMS,,JFK,CDG,,,,AMS,YYZ,,CDG,BUD,,,,KL,KL,,AF,AF,,,,1972,0691,VOID,0009,1294,VOID,VOID,VOID
377,6:30,9:45,,23:25,14:20,,,,8:40,11:40,,12:55,16:25,,,,2018-08-02,2018-08-02,2018-08-02,2018-08-31,2018-09-01,2018-09-01,2018-09-01,2018-09-01,BUD,AMS,,JFK,CDG,,,,AMS,YYZ,,CDG,BUD,,,,KL,KL,,AF,AF,,,,1972,0691,VOID,0009,1294,VOID,VOID,VOID
378,6:25,10:20,,18:45,9:35,,,,9:00,12:50,,8:10,11:50,,,,2018-06-13,2018-06-13,2018-06-13,2018-10-12,2018-10-13,2018-10-13,2018-10-13,2018-10-13,WAW,CDG,,JFK,CDG,,,,CDG,LAX,,CDG,WAW,,,,AF,AF,,AF,AF,,,,1247,0066,VOID,0007,1146,VOID,VOID,VOID
379,6:25,10:20,,18:45,9:35,,,,9:00,12:50,,8:10,11:50,,,,2018-06-13,2018-06-13,2018-06-13,2018-10-12,2018-10-13,2018-10-13,2018-10-13,2018-10-13,WAW,CDG,,JFK,CDG,,,,CDG,LAX,,CDG,WAW,,,,AF,AF,,AF,AF,,,,1247,0066,VOID,0007,1146,VOID,VOID,VOID
380,14:25,23:40,7:25,9:50,15:25,12:15,,,15:55,5:45,8:55,11:20,7:35,13:40,,,2018-06-08,2018-06-08,2018-06-09,2018-06-22,2018-06-22,2018-06-23,2018-06-23,2018-06-23,MPL,CDG,GIG,FLN,GIG,CDG,,,CDG,GIG,FLN,GIG,CDG,MPL,,,AF,AF,AF,AF,AF,AF,,,7683,0442,2064,2047,0443,7680,VOID,VOID
381,1:55,8:55,12:30,,12:05,16:00,,,6:00,10:15,13:50,,13:20,20:35,,,2019-03-28,2019-03-28,2019-03-28,2019-03-28,2019-05-03,2019-05-03,2019-05-03,2019-05-03,CAI,CDG,AMS,,DUS,CDG,,,CDG,AMS,DRS,,CDG,CAI,,,KL,KL,KL,,AF,AF,,,2361,1224,1809,VOID,1607,0570,VOID,VOID
382,1:05,13:30,20:24,14:03,20:00,16:00,,,6:00,16:50,22:06,17:27,13:20,20:35,,,2018-06-15,2018-06-15,2018-06-15,2018-07-01,2018-07-01,2018-07-02,2018-07-02,2018-07-02,CAI,CDG,SJO,GUA,PTY,CDG,,,CDG,SJO,GUA,PTY,CDG,CAI,,,AF,AF,AF,CM,AF,AF,,,567,0430,4504,0555,0475,0570,VOID,VOID
383,2:05,10:10,,17:40,18:10,,,,7:00,12:30,,,21:40,,,,2018-10-24,2018-10-24,2018-10-24,2018-11-01,2018-11-02,2018-11-02,2018-11-02,2018-11-02,CAI,CDG,,MIA,CDG,,,,CDG,ORD,,CDG,CAI,,,,AF,AF,,AF,AF,,,,569,0144,VOID,0071,0570,VOID,VOID,VOID
384,2:05,10:10,,17:40,18:10,,,,7:00,12:30,,,21:40,,,,2018-10-24,2018-10-24,2018-10-24,2018-11-01,2018-11-02,2018-11-02,2018-11-02,2018-11-02,CAI,CDG,,MIA,CDG,,,,CDG,ORD,,CDG,CAI,,,,AF,AF,,AF,AF,,,,569,0144,VOID,0071,0570,VOID,VOID,VOID
385,13:35,12:30,1:05,,22:55,,,,8:20,23:05,7:55,,4:30,,,,2018-07-21,2018-07-22,2018-08-30,2018-08-30,2018-09-02,2018-09-02,2018-09-02,2018-09-02,CDG,NRT,NOU,,HND,,,,NRT,NOU,NRT,,CDG,,,,AF,AF,AF,,AF,,,,276,4021,4020,VOID,0293,VOID,VOID,VOID
386,6:25,9:25,15:35,,18:00,,,,8:25,10:20,17:05,,19:30,,,,2018-06-13,2018-06-13,2018-06-14,2018-06-14,2018-06-18,2018-06-18,2018-06-18,2018-06-18,NCE,AMS,HAJ,,ORY,,,,AMS,HAJ,CDG,,NCE,,,,KL,KL,AF,,AF,,,,1250,1903,1639,VOID,6228,VOID,VOID,VOID
387,7:55,13:10,,22:25,13:25,9:35,,,8:55,14:15,,7:11,8:15,10:30,,,2018-07-27,2018-07-27,2018-07-27,2018-08-14,2018-08-15,2018-08-16,2018-08-16,2018-08-16,LUX,CDG,,HNL,YVR,CDG,,,CDG,SEA,,YVR,CDG,LUX,,,AF,AF,,AF,AF,AF,,,4601,0338,VOID,3745,0379,4600,VOID,VOID
388,7:55,13:10,,22:25,13:25,9:35,,,8:55,14:15,,7:11,8:15,10:30,,,2018-07-27,2018-07-27,2018-07-27,2018-08-14,2018-08-15,2018-08-16,2018-08-16,2018-08-16,LUX,CDG,,HNL,YVR,CDG,,,CDG,SEA,,YVR,CDG,LUX,,,AF,AF,,AF,AF,AF,,,4601,0338,VOID,3745,0379,4600,VOID,VOID
389,10:25,13:30,,18:05,20:50,,,,11:55,15:25,,19:40,22:10,,,,2018-07-10,2018-07-10,2018-07-10,2018-07-31,2018-07-31,2018-07-31,2018-07-31,2018-07-31,FRA,CDG,,NCE,CDG,,,,CDG,AJA,,CDG,FRA,,,,AF,AF,,AF,AF,,,,1519,7588,VOID,7709,1018,VOID,VOID,VOID
390,9:05,14:30,17:20,22:50,7:10,,,,10:20,15:50,10:20,5:55,8:30,,,,2018-08-27,2018-08-27,2018-08-27,2018-09-12,2018-09-13,2018-09-13,2018-09-13,2018-09-13,DUS,CDG,AMS,HKG,CDG,,,,CDG,AMS,HKG,CDG,DUS,,,,AF,AF,AF,AF,AF,,,,1307,8234,8405,0185,1306,VOID,VOID,VOID
391,10:35,17:00,,13:25,9:25,,,,14:55,18:26,,8:15,10:40,,,,2018-06-09,2018-06-09,2018-06-09,2018-07-22,2018-07-23,2018-07-23,2018-07-23,2018-07-23,STR,ATL,,YVR,CDG,,,,ATL,SDF,,CDG,STR,,,,AF,AF,,AF,AF,,,,3632,2752,VOID,0379,1408,VOID,VOID,VOID
392,20:10,10:05,13:22,20:00,15:25,,,,21:35,16:55,14:42,13:20,17:05,,,,2018-07-09,2018-07-10,2018-07-31,2018-07-31,2018-08-01,2018-08-01,2018-08-01,2018-08-01,TXL,AMS,CTG,PTY,CDG,,,,AMS,CTG,PTY,CDG,TXL,,,,KL,KL,CM,AF,AF,,,,1834,0749,0687,0475,1834,VOID,VOID,VOID
393,20:10,10:05,13:22,20:00,15:25,,,,21:35,16:55,14:42,13:20,17:05,,,,2018-07-09,2018-07-10,2018-07-31,2018-07-31,2018-08-01,2018-08-01,2018-08-01,2018-08-01,TXL,AMS,CTG,PTY,CDG,,,,AMS,CTG,PTY,CDG,TXL,,,,KL,KL,CM,AF,AF,,,,1834,0749,0687,0475,1834,VOID,VOID,VOID
